i,t_wf_1_101,t_ciwf_1_101,l_wf_1_101,l_ciwf_1_101,t_wf_1_301,t_ciwf_1_301,l_wf_1_301,l_ciwf_1_301
0,7.0945e-6,1.9143333333333334e-6,1,1,6.4177e-5,4.4446666666666666e-6,1,1
9,0.004552702,0.000154092,593,132,0.039244738,0.000329154,594,132
19,0.011845044,0.000154393,1556,132,0.102729419,0.000333484,1555,132
29,0.019556666,0.000152543,2516,132,0.168422372,0.000331274,2515,132
39,0.026508022,0.000154062,3476,132,0.232410442,0.000335874,3476,132
49,0.033813333,0.000154353,4436,132,0.296376846,0.000333554,4436,132
59,0.036181301,0.000153853,4740,132,0.361106945,0.000329715,5396,132
69,0.036176492,0.000153472,4740,132,0.425882014,0.000333714,6356,132
79,0.03618275,0.000152563,4740,132,0.490667989,0.000333444,7316,132
89,0.036212391,0.000155372,4740,132,0.55584553,0.000334574,8276,132
99,0.036227176,0.000153172,4740,132,0.62110502,0.000332454,9236,132
