i,t_wf_2_51,t_ciwf_2_51,l_wf_2_51,l_ciwf_2_51,t_wf_2_101,t_ciwf_2_101,l_wf_2_101,l_ciwf_2_101,t_wf_2_151,t_ciwf_2_151,l_wf_2_151,l_ciwf_2_151,t_wf_2_201,t_ciwf_2_201,l_wf_2_201,l_ciwf_2_201,t_wf_2_251,t_ciwf_2_251,l_wf_2_251,l_ciwf_2_251,t_wf_2_301,t_ciwf_2_301,l_wf_2_301,l_ciwf_2_301
0,2.1821111111111112e-6,4.5248e-5,1,1,7.162e-6,0.000205462,1,1,1.2659e-5,0.000481762,1,1,2.5879e-5,0.000835847,1,1,4.1618e-5,0.001324017,1,1,6.4268e-5,0.001878966,1,1
9,0.005314461,0.007948898,2046,220,0.016102392,0.034378428,2045,220,0.027562295,0.082637547,2055,220,0.055547337,0.153823403,2051,220,0.087526053,0.236938392,2039,220,0.136440454,0.339045662,2032,220
19,0.044492969,0.008019827,16874,220,0.133434262,0.03456781,16867,220,0.226287464,0.082071959,16862,220,0.456654959,0.150960976,16878,220,0.724108097,0.236506659,16864,220,1.136320051,0.327377223,16865,220
29,0.123388771,0.008027266,46205,220,0.371431072,0.034744597,46490,220,0.629808276,0.082910962,46483,220,1.268056334,0.149208393,46494,220,2.00803808,0.236102858,46486,220,3.166578749,0.341163279,46490,220
39,0.198083914,0.008028696,73645,220,0.727022289,0.034882061,90905,220,1.233048182,0.082784778,90911,220,2.501811949,0.150655674,90916,220,3.937811754,0.236947294,90910,220,6.273943155,0.345206198,90901,220
49,0.233297638,0.008035117,86307,220,1.224370894,0.034697769,150137,220,2.070774428,0.08269565,150136,220,4.16778472,0.150604772,150137,220,6.566605534,0.236580884,150128,220,10.384067043,0.346759512,150128,220
59,0.23637605,0.008041773,87300,220,1.779487495,0.035052927,219052,220,3.098010752,0.081905661,224154,220,6.244136202,0.150479368,224151,220,9.803055454,0.237255645,224148,220,15.502926649,0.345943275,224146,220
69,0.235969456,0.008023405,87300,220,2.255997679,0.035052867,276118,220,4.383090481,0.081263693,312975,220,8.822034296,0.143993594,312967,220,13.774144905,0.236873561,312973,220,21.876562189,0.346900033,312967,220
79,0.235938191,0.008090206,87300,220,2.628033043,0.034924469,318381,220,5.899573286,0.083229737,416303,220,11.527976618,0.14965366,416592,220,18.341538704,0.237069704,416594,220,29.011272277,0.345885202,416594,220
89,0.236090696,0.008080426,87300,220,2.88737645,0.034889398,345847,220,7.376448423,0.083064011,517740,220,14.877414452,0.151473743,535013,220,23.641070526,0.237455073,535007,220,36.829240707,0.339584296,535014,220
99,0.236262198,0.008074852,87300,220,2.980470475,0.034804841,358506,220,8.695885589,0.083988157,604401,220,18.7532267,0.151583747,668234,220,30.107151966,0.239437579,668238,220,46.346898682,0.342231658,668236,220
