i,1_101,1_301,2_101,2_301
0,3.705989900748737,14.439103044847759,0.03485802727511657,0.03420391853817472
9,29.545349531448746,119.22910856316496,0.46838651261192044,0.40242501023357724
19,76.72008445978769,308.04901884348277,3.860072767120625,3.47098078658942
29,128.20428338239054,508.4080610008633,10.690326095881899,9.281710383021615
39,172.06074177928366,691.9572280081221,20.842297391773954,18.174480039318414
49,219.06495500573362,888.5423229821859,35.28673252738526,29.946019312081624
59,235.16799152437716,1095.2093323021397,50.76573191733746,44.81349333644367
69,235.7204701834862,1276.1886345793105,64.35986189089753,63.06301558927785
79,237.16595766994618,1471.515423879272,75.24904796691396,83.8754364432162
89,233.0689635198105,1661.3530340074244,82.75798997735644,108.45389831277708
99,236.51304415950696,1868.2434863169042,85.63379085685236,135.4255154325904
